Wormbase_ID,C_gene,H_gene,NIH_ID
WBGene00000064,act-2,ACTL9,ENSG00000181786
WBGene00000064,act-2,ACTRT3,ENSG00000184378
WBGene00000064,act-2,ACTL7A,ENSG00000187003
WBGene00000065,act-3,ACTG1,ENSG00000184009
WBGene00000065,act-3,ACTB,ENSG00000075624
WBGene00000065,act-3,ACTBL2,ENSG00000169067
WBGene00000065,act-3,ACTA2,ENSG00000107796
WBGene00000065,act-3,ACTA1,ENSG00000143632
WBGene00000065,act-3,ACTC1,ENSG00000159251
WBGene00000065,act-3,ACTG2,ENSG00000163017
WBGene00000065,act-3,POTEI,ENSG00000196834
WBGene00000065,act-3,POTED,ENSG00000166351
WBGene00000065,act-3,POTEC,ENSG00000183206
WBGene00000065,act-3,POTEH,ENSG00000198062
WBGene00000065,act-3,POTEM,ENSG00000222036
WBGene00000065,act-3,POTEE,ENSG00000188219
WBGene00000065,act-3,POTEA,ENSG00000188877
WBGene00000065,act-3,POTEF,ENSG00000196604
WBGene00000065,act-3,POTEJ,ENSG00000222038
WBGene00000065,act-3,POTEB2,ENSG00000230031
WBGene00000065,act-3,POTEB,ENSG00000233917
WBGene00000065,act-3,ACTRT1,ENSG00000123165
WBGene00000065,act-3,ACTL7B,ENSG00000148156
WBGene00000065,act-3,ACTRT2,ENSG00000169717
WBGene00000065,act-3,ACTL9,ENSG00000181786
WBGene00000065,act-3,ACTRT3,ENSG00000184378
WBGene00000065,act-3,ACTL7A,ENSG00000187003
WBGene00000066,act-4,ACTG1,ENSG00000184009
WBGene00000066,act-4,ACTB,ENSG00000075624
WBGene00000066,act-4,ACTBL2,ENSG00000169067
WBGene00000066,act-4,ACTA2,ENSG00000107796
WBGene00000066,act-4,ACTA1,ENSG00000143632
WBGene00000066,act-4,ACTC1,ENSG00000159251
WBGene00000066,act-4,ACTG2,ENSG00000163017
WBGene00000066,act-4,POTEI,ENSG00000196834
WBGene00000066,act-4,POTED,ENSG00000166351
WBGene00000066,act-4,POTEC,ENSG00000183206
WBGene00000066,act-4,POTEH,ENSG00000198062
WBGene00000066,act-4,POTEM,ENSG00000222036
WBGene00000066,act-4,POTEE,ENSG00000188219
WBGene00000066,act-4,POTEA,ENSG00000188877
WBGene00000066,act-4,POTEF,ENSG00000196604
WBGene00000066,act-4,POTEJ,ENSG00000222038
WBGene00000066,act-4,POTEB2,ENSG00000230031
WBGene00000066,act-4,POTEB,ENSG00000233917
WBGene00000066,act-4,ACTRT1,ENSG00000123165
WBGene00000066,act-4,ACTL7B,ENSG00000148156
WBGene00000066,act-4,ACTRT2,ENSG00000169717
WBGene00000066,act-4,ACTL9,ENSG00000181786
WBGene00000066,act-4,ACTRT3,ENSG00000184378
WBGene00000066,act-4,ACTL7A,ENSG00000187003
WBGene00000067,act-5,POTEI,ENSG00000196834
WBGene00000067,act-5,ACTA2,ENSG00000107796
WBGene00000067,act-5,ACTA1,ENSG00000143632
WBGene00000067,act-5,ACTC1,ENSG00000159251
WBGene00000067,act-5,ACTG2,ENSG00000163017
WBGene00000067,act-5,ACTB,ENSG00000075624
WBGene00000067,act-5,ACTBL2,ENSG00000169067
WBGene00000067,act-5,ACTG1,ENSG00000184009
WBGene00000067,act-5,POTED,ENSG00000166351
WBGene00000067,act-5,POTEC,ENSG00000183206
WBGene00000067,act-5,POTEH,ENSG00000198062
WBGene00000067,act-5,POTEM,ENSG00000222036
WBGene00000067,act-5,POTEE,ENSG00000188219
WBGene00000067,act-5,POTEA,ENSG00000188877
WBGene00000067,act-5,POTEF,ENSG00000196604
WBGene00000067,act-5,POTEJ,ENSG00000222038
WBGene00000067,act-5,POTEB2,ENSG00000230031
WBGene00000067,act-5,POTEB,ENSG00000233917
WBGene00000068,acy-1,ADCY9,ENSG00000162104
WBGene00000069,acy-2,ADCY2,ENSG00000078295
WBGene00000069,acy-2,ADCY4,ENSG00000129467
WBGene00000069,acy-2,ADCY7,ENSG00000121281
WBGene00000069,acy-2,ADCY1,ENSG00000164742
WBGene00000069,acy-2,ADCY5,ENSG00000173175
WBGene00000069,acy-2,ADCY8,ENSG00000155897
WBGene00000069,acy-2,ADCY6,ENSG00000174233
WBGene00000069,acy-2,ADCY3,ENSG00000138031
WBGene00000071,acy-4,ADCY5,ENSG00000173175
WBGene00000071,acy-4,ADCY6,ENSG00000174233
WBGene00000071,acy-4,ADCY2,ENSG00000078295
WBGene00000071,acy-4,ADCY1,ENSG00000164742
WBGene00000071,acy-4,ADCY8,ENSG00000155897
WBGene00000071,acy-4,ADCY3,ENSG00000138031
WBGene00000071,acy-4,ADCY7,ENSG00000121281
WBGene00000071,acy-4,ADCY4,ENSG00000129467
WBGene00000072,add-1,ADD1,ENSG00000087274
WBGene00000072,add-1,ADD2,ENSG00000075340
WBGene00000072,add-1,ADD3,ENSG00000148700
WBGene00000073,add-2,ADD2,ENSG00000075340
WBGene00000073,add-2,ADD1,ENSG00000087274
WBGene00000073,add-2,ADD3,ENSG00000148700
WBGene00000074,adm-2,ADAM12,ENSG00000148848
WBGene00000074,adm-2,ADAM19,ENSG00000135074
WBGene00000074,adm-2,ADAM33,ENSG00000149451
WBGene00000074,adm-2,ADAM9,ENSG00000168615
WBGene00000074,adm-2,ADAM28,ENSG00000042980
WBGene00000074,adm-2,ADAM8,ENSG00000151651
WBGene00000074,adm-2,ADAM7,ENSG00000069206
WBGene00000074,adm-2,ADAM20,ENSG00000134007
WBGene00000074,adm-2,ADAM30,ENSG00000134249
WBGene00000074,adm-2,ADAM21,ENSG00000139985
WBGene00000074,adm-2,ADAM29,ENSG00000168594
WBGene00000074,adm-2,ADAM15,ENSG00000143537
WBGene00000074,adm-2,ADAM2,ENSG00000104755
WBGene00000074,adm-2,ADAM18,ENSG00000168619
WBGene00000074,adm-2,ADAM32,ENSG00000197140
WBGene00000075,adm-4,ADAM17,ENSG00000151694
WBGene00000080,adr-2,ADARB1,ENSG00000197381
WBGene00000080,adr-2,ADARB2,ENSG00000185736
WBGene00000080,adr-2,ADAR,ENSG00000160710
WBGene00000081,ads-1,AGPS,ENSG00000018510
WBGene00000086,aex-3,MADD,ENSG00000110514
WBGene00000089,aex-6,RAB27A,ENSG00000069974
WBGene00000089,aex-6,RAB27B,ENSG00000041353
WBGene00000090,age-1,PIK3CA,ENSG00000121879
WBGene00000090,age-1,PIK3CG,ENSG00000105851
WBGene00000090,age-1,PIK3CB,ENSG00000051382
WBGene00000090,age-1,PIK3CD,ENSG00000171608
WBGene00000092,ags-3,GPSM2,ENSG00000121957
WBGene00000092,ags-3,GPSM1,ENSG00000160360
WBGene00000095,aha-1,ARNT,ENSG00000143437
WBGene00000095,aha-1,ARNT2,ENSG00000172379
WBGene00000096,ahr-1,AHR,ENSG00000106546
WBGene00000096,ahr-1,AHRR,ENSG00000063438
WBGene00000096,ahr-1,NPAS1,ENSG00000130751
WBGene00000097,aip-1,ZFAND2B,ENSG00000158552
WBGene00000097,aip-1,ZFAND2A,ENSG00000178381
WBGene00000099,air-2,AURKA,ENSG00000087586
WBGene00000099,air-2,AURKC,ENSG00000105146
WBGene00000099,air-2,AURKB,ENSG00000178999
WBGene00000101,aka-1,ZFYVE16,ENSG00000039319
WBGene00000101,aka-1,ZFYVE9,ENSG00000157077
WBGene00000101,aka-1,ZFYVE21,ENSG00000100711
WBGene00000102,akt-1,AKT2,ENSG00000105221
WBGene00000102,akt-1,AKT1,ENSG00000142208
WBGene00000102,akt-1,AKT3,ENSG00000117020
WBGene00000102,akt-1,AKT3,ENSG00000275199
WBGene00000102,akt-1,SGK2,ENSG00000101049
WBGene00000102,akt-1,SGK3,ENSG00000104205
WBGene00000102,akt-1,SGK1,ENSG00000118515
WBGene00000102,akt-1,RPS6KB1,ENSG00000108443
WBGene00000102,akt-1,RPS6KB2,ENSG00000175634
WBGene00000103,akt-2,AKT2,ENSG00000105221
WBGene00000103,akt-2,AKT1,ENSG00000142208
WBGene00000103,akt-2,AKT3,ENSG00000117020
WBGene00000103,akt-2,AKT3,ENSG00000275199
WBGene00000103,akt-2,SGK2,ENSG00000101049
WBGene00000103,akt-2,SGK3,ENSG00000104205
WBGene00000103,akt-2,SGK1,ENSG00000118515
WBGene00000103,akt-2,RPS6KB1,ENSG00000108443
WBGene00000103,akt-2,RPS6KB2,ENSG00000175634
WBGene00000105,alg-1,ago2,ENSG00000123908
WBGene00000105,alg-1,ago1,ENSG00000092847
WBGene00000105,alg-1,ago3,ENSG00000126070
WBGene00000105,alg-1,ago4,ENSG00000134698
WBGene00000106,alg-2,ago2,ENSG00000123908
WBGene00000106,alg-2,ago1,ENSG00000092847
WBGene00000106,alg-2,ago3,ENSG00000126070
WBGene00000106,alg-2,ago4,ENSG00000134698
WBGene00000107,alh-1,ALDH2,ENSG00000111275
WBGene00000107,alh-1,ALDH1B1,ENSG00000137124
WBGene00000107,alh-1,ALDH1A2,ENSG00000128918
WBGene00000107,alh-1,ALDH1A1,ENSG00000165092
WBGene00000107,alh-1,ALDH1A3,ENSG00000184254
WBGene00000108,alh-2,ALDH1B1,ENSG00000137124
WBGene00000108,alh-2,ALDH2,ENSG00000111275
WBGene00000108,alh-2,ALDH1A2,ENSG00000128918
WBGene00000108,alh-2,ALDH1A1,ENSG00000165092
WBGene00000108,alh-2,ALDH1A3,ENSG00000184254
WBGene00000109,alh-3,ALDH1L1,ENSG00000144908
WBGene00000109,alh-3,ALDH1L2,ENSG00000136010
WBGene00000110,alh-4,ALDH3A2,ENSG00000072210
WBGene00000110,alh-4,ALDH3A1,ENSG00000108602
WBGene00000110,alh-4,ALDH3B1,ENSG00000006534
WBGene00000110,alh-4,ALDH3B2,ENSG00000132746
WBGene00000111,alh-5,ALDH3A2,ENSG00000072210
WBGene00000111,alh-5,ALDH3A1,ENSG00000108602
WBGene00000111,alh-5,ALDH3B1,ENSG00000006534
WBGene00000111,alh-5,ALDH3B2,ENSG00000132746
WBGene00000112,alh-6,ALDH4A1,ENSG00000159423
WBGene00000113,alh-7,ALDH5A1,ENSG00000112294
WBGene00000114,alh-8,ALDH6A1,ENSG00000119711
WBGene00000115,alh-9,ALDH7A1,ENSG00000164904
WBGene00000116,alh-10,ALDH8A1,ENSG00000118514
WBGene00000117,alh-11,ALDH9A1,ENSG00000143149
WBGene00000118,alh-12,ALDH9A1,ENSG00000143149
WBGene00000121,aly-2,ALYREF,ENSG00000183684
WBGene00000122,aly-3,ALYREF,ENSG00000183684
WBGene00000123,ama-1,POLR2A,ENSG00000181222
WBGene00000123,ama-1,POLR3A,ENSG00000148606
WBGene00000137,amx-1,KDM1B,ENSG00000165097
WBGene00000139,amx-3,SMOX,ENSG00000088826
WBGene00000139,amx-3,PAOX,ENSG00000148832
WBGene00000140,anc-1,SYNE1,ENSG00000131018
WBGene00000140,anc-1,SYNE2,ENSG00000054654
WBGene00000140,anc-1,CENPE,ENSG00000138778
WBGene00000140,anc-1,CENPF,ENSG00000117724
WBGene00000140,anc-1,GOLGA4,ENSG00000144674
WBGene00000140,anc-1,GOLGB1,ENSG00000173230
WBGene00000140,anc-1,SPTBN5,ENSG00000137877
WBGene00000140,anc-1,CLMN,ENSG00000165959
WBGene00000142,aos-1,SAE1,ENSG00000142230
WBGene00000143,apc-2,ANAPC2,ENSG00000176248
WBGene00000145,apc-11,ANAPC11,ENSG00000141552
WBGene00000146,ape-1,PPP1R13B,ENSG00000088808
WBGene00000146,ape-1,TP53BP2,ENSG00000143514
WBGene00000146,ape-1,PPP1R13L,ENSG00000104881
WBGene00000147,aph-1,APH1A,ENSG00000117362
WBGene00000147,aph-1,APH1B,ENSG00000138613
WBGene00000148,aph-2,NCSTN,ENSG00000162736
WBGene00000149,apl-1,APLP2,ENSG00000084234
WBGene00000149,apl-1,APP,ENSG00000142192
WBGene00000149,apl-1,APLP1,ENSG00000105290
WBGene00000150,apm-1,AP1M2,ENSG00000129354
WBGene00000150,apm-1,AP1M1,ENSG00000072958
WBGene00000155,app-1,XPNPEP1,ENSG00000108039
WBGene00000155,app-1,XPNPEP2,ENSG00000122121
WBGene00000156,apr-1,APC,ENSG00000134982
WBGene00000156,apr-1,APC2,ENSG00000115266
WBGene00000157,aps-2,AP2S1,ENSG00000042753
WBGene00000158,apg-1,AP1G1,ENSG00000166747
WBGene00000158,apg-1,AP1G2,ENSG00000213983
WBGene00000158,apg-1,AP4E1,ENSG00000081014
WBGene00000159,aps-1,AP1S2,ENSG00000182287
WBGene00000159,aps-1,AP1S1,ENSG00000106367
WBGene00000159,aps-1,AP1S3,ENSG00000152056
WBGene00000160,apb-1,AP1B1,ENSG00000100280
WBGene00000160,apb-1,AP2B1,ENSG00000006125
WBGene00000161,apa-2,AP2A2,ENSG00000183020
WBGene00000161,apa-2,AP2A1,ENSG00000196961
WBGene00000162,apd-3,AP3D1,ENSG00000065000
WBGene00000163,apb-3,AP3B2,ENSG00000103723
WBGene00000163,apb-3,AP3B1,ENSG00000132842
WBGene00000164,apm-3,AP3M1,ENSG00000185009
WBGene00000164,apm-3,AP3M2,ENSG00000070718
WBGene00000165,aps-3,AP3S2,ENSG00000157823
WBGene00000165,aps-3,AP3S1,ENSG00000177879
WBGene00000165,aps-3,ARPIN,ENSG00000242498
WBGene00000166,apt-9,GGA1,ENSG00000100083
WBGene00000166,apt-9,GGA3,ENSG00000125447
WBGene00000166,apt-9,GGA2,ENSG00000103365
WBGene00000169,aqp-1,AQP10,ENSG00000143595
WBGene00000169,aqp-1,AQP9,ENSG00000103569
WBGene00000169,aqp-1,AQP7,ENSG00000165269
WBGene00000169,aqp-1,AQP3,ENSG00000165272
WBGene00000170,aqp-2,AQP10,ENSG00000143595
WBGene00000170,aqp-2,AQP3,ENSG00000165272
WBGene00000170,aqp-2,AQP9,ENSG00000103569
WBGene00000170,aqp-2,AQP7,ENSG00000165269
WBGene00000170,aqp-2,AQP5,ENSG00000161798
WBGene00000170,aqp-2,AQP4,ENSG00000171885
WBGene00000171,aqp-3,AQP10,ENSG00000143595
WBGene00000171,aqp-3,AQP9,ENSG00000103569
WBGene00000171,aqp-3,AQP7,ENSG00000165269
WBGene00000171,aqp-3,AQP3,ENSG00000165272
WBGene00000171,aqp-3,AQP5,ENSG00000161798
WBGene00000171,aqp-3,AQP4,ENSG00000171885
WBGene00000172,aqp-4,AQP8,ENSG00000103375
WBGene00000173,aqp-5,AQP8,ENSG00000103375
WBGene00000174,aqp-6,AQP8,ENSG00000103375
WBGene00000174,aqp-6,AQP1,ENSG00000240583
WBGene00000175,aqp-7,AQP10,ENSG00000143595
WBGene00000175,aqp-7,AQP3,ENSG00000165272
WBGene00000175,aqp-7,AQP9,ENSG00000103569
WBGene00000175,aqp-7,AQP7,ENSG00000165269
WBGene00000175,aqp-7,AQP5,ENSG00000161798
WBGene00000175,aqp-7,AQP4,ENSG00000171885
WBGene00000176,aqp-8,AQP10,ENSG00000143595
WBGene00000176,aqp-8,AQP3,ENSG00000165272
WBGene00000176,aqp-8,AQP9,ENSG00000103569
WBGene00000176,aqp-8,AQP7,ENSG00000165269
WBGene00000176,aqp-8,AQP5,ENSG00000161798
WBGene00000176,aqp-8,AQP4,ENSG00000171885
WBGene00000177,aqp-9,AQP12A,ENSG00000184945
WBGene00000177,aqp-9,AQP12B,ENSG00000185176
WBGene00000177,aqp-9,AQP11,ENSG00000178301
WBGene00000180,arc-1,TRIM23,ENSG00000113595
WBGene00000181,ard-1,HSD17B10,ENSG00000072506
WBGene00000182,arf-1.2,ARF1,ENSG00000143761
WBGene00000182,arf-1.2,ARF3,ENSG00000134287
WBGene00000182,arf-1.2,ARF5,ENSG00000004059
WBGene00000182,arf-1.2,ARF4,ENSG00000168374
WBGene00000182,arf-1.2,TRIM23,ENSG00000113595
WBGene00000183,arf-3,ARF5,ENSG00000004059
WBGene00000183,arf-3,ARF4,ENSG00000168374
WBGene00000183,arf-3,ARF3,ENSG00000134287
WBGene00000183,arf-3,ARF1,ENSG00000143761
WBGene00000183,arf-3,TRIM23,ENSG00000113595
WBGene00000184,arf-6,ARF6,ENSG00000165527
WBGene00000187,arl-1,ARL1,ENSG00000120805
WBGene00000188,arl-3,ARL3,ENSG00000138175
WBGene00000189,arl-5,ARL5A,ENSG00000162980
WBGene00000189,arl-5,ARL5B,ENSG00000165997
WBGene00000189,arl-5,ARL5C,ENSG00000141748
WBGene00000192,arl-8,ARL8A,ENSG00000143862
WBGene00000192,arl-8,ARL8B,ENSG00000134108
WBGene00000193,arl-6,ARL6,ENSG00000113966
WBGene00000195,arr-1,ARRB1,ENSG00000137486
WBGene00000195,arr-1,ARRB2,ENSG00000141480
WBGene00000195,arr-1,ARR3,ENSG00000120500
WBGene00000195,arr-1,SAG,ENSG00000130561
WBGene00000195,arr-1,SAG,ENSG00000281857
WBGene00000198,art-1,TECR,ENSG00000099797
WBGene00000198,art-1,TECRL,ENSG00000205678
WBGene00000199,arx-1,ACTR3,ENSG00000115091
WBGene00000199,arx-1,ACTR3B,ENSG00000133627
WBGene00000199,arx-1,ACTR3C,ENSG00000106526
WBGene00000200,arx-2,ACTR2,ENSG00000138071
WBGene00000201,arx-3,ARPC1A,ENSG00000241685
WBGene00000201,arx-3,ARPC1B,ENSG00000130429
WBGene00000202,exos-4.2,EXOSC6,ENSG00000223496
WBGene00000203,arx-5,ARPC3,ENSG00000111229
WBGene00000204,arx-6,ARPC4,ENSG00000241553
WBGene00000204,arx-6,ARPC4-TTLL3,ENSG00000250151
WBGene00000205,arx-7,ARPC5,ENSG00000162704
WBGene00000205,arx-7,ARPC5L,ENSG00000136950
WBGene00000208,asc-1,TRIP4,ENSG00000103671
WBGene00000211,asm-1,SMPD1,ENSG00000166311
WBGene00000212,asm-2,SMPD1,ENSG00000166311
WBGene00000213,asm-3,SMPD1,ENSG00000166311
WBGene00000216,asp-3,NAPSA,ENSG00000131400
WBGene00000216,asp-3,CTSE,ENSG00000196188
WBGene00000216,asp-3,CTSD,ENSG00000117984
WBGene00000216,asp-3,REN,ENSG00000143839
WBGene00000216,asp-3,BACE2,ENSG00000182240
WBGene00000216,asp-3,BACE1,ENSG00000186318
WBGene00000217,asp-4,CTSD,ENSG00000117984
WBGene00000217,asp-4,NAPSA,ENSG00000131400
WBGene00000217,asp-4,REN,ENSG00000143839
WBGene00000217,asp-4,CTSE,ENSG00000196188
WBGene00000217,asp-4,BACE2,ENSG00000182240
WBGene00000217,asp-4,BACE1,ENSG00000186318
WBGene00000220,atf-2,NFIL3,ENSG00000165030
WBGene00000222,atf-6,ATF6,ENSG00000118217
WBGene00000222,atf-6,ATF6B,ENSG00000213676
WBGene00000222,atf-6,ATF6B,ENSG00000168468
WBGene00000222,atf-6,ATF6B,ENSG00000228628
WBGene00000222,atf-6,ATF6B,ENSG00000234539
WBGene00000224,atgp-1,SLC3A1,ENSG00000138079
WBGene00000224,atgp-1,SLC3A2,ENSG00000168003
WBGene00000225,atgp-2,SLC3A1,ENSG00000138079
WBGene00000225,atgp-2,SLC3A2,ENSG00000168003
WBGene00000226,atl-1,ATR,ENSG00000175054
WBGene00000226,atl-1,PRKDC,ENSG00000253729
WBGene00000227,atm-1,ATM,ENSG00000149311
WBGene00000228,atn-1,ACTN1,ENSG00000072110
WBGene00000228,atn-1,ACTN2,ENSG00000077522
WBGene00000228,atn-1,ACTN4,ENSG00000130402
WBGene00000228,atn-1,ACTN3,ENSG00000248746
WBGene00000228,atn-1,ACTN4,ENSG00000282844
WBGene00000231,atx-2,ATXN2L,ENSG00000168488
WBGene00000231,atx-2,ATXN2,ENSG00000204842
WBGene00000232,avr-14,GLRA1,ENSG00000145888
WBGene00000232,avr-14,GLRA2,ENSG00000101958
WBGene00000232,avr-14,GLRA3,ENSG00000145451
WBGene00000232,avr-14,GLRA4,ENSG00000188828
WBGene00000232,avr-14,GLRB,ENSG00000109738
WBGene00000233,avr-15,GLRA1,ENSG00000145888
WBGene00000233,avr-15,GLRA2,ENSG00000101958
WBGene00000233,avr-15,GLRA3,ENSG00000145451
WBGene00000233,avr-15,GLRA4,ENSG00000188828
WBGene00000233,avr-15,GLRB,ENSG00000109738
WBGene00000235,baf-1,BANF1,ENSG00000175334
WBGene00000235,baf-1,BANF2,ENSG00000125888
WBGene00000236,bag-1,BAG1,ENSG00000107262
WBGene00000240,pah-1,PAH,ENSG00000171759
WBGene00000241,bbs-1,BBS1,ENSG00000174483
WBGene00000242,bbs-2,BBS2,ENSG00000125124
